746 363 624 671 868 274 158 170 907 575 | 780 21 149 797 870 253 427 755 890 710 | 355 639 394 284 826 203 974 465 581 634 | 124 98 22 756 94 664 426 970 996 279 | 895 10 992 898 767 414 956 567 267 938 | 572 185 845 819 900 571 9 506 505 555 | 212 498 468 479 653 980 345 35 723 0 | 596 609 240 528 354 425 679 76 187 402 | 839 218 553 386 788 209 452 922 244 350 | 398 37 766 584 793 163 920 748 446 714 
474 874 428 798 673 16 26 382 877 121 | 586 985 544 294 557 248 336 991 705 157 | 716 852 541 223 260 57 378 605 65 38 | 713 718 635 83 334 750 651 906 582 759 | 18 142 736 409 210 269 20 918 286 973 | 602 268 661 435 478 320 62 561 959 532 | 903 546 840 14 513 273 638 391 445 703 | 627 415 314 417 28 276 472 330 883 966 | 441 135 576 950 916 540 356 789 138 162 | 421 50 981 316 217 549 226 652 740 219 
449 93 160 859 626 951 463 436 453 804 | 796 270 967 694 578 534 368 559 896 879 | 851 439 340 126 822 786 56 153 535 256 | 857 326 923 816 863 136 211 608 629 752 | 146 508 418 395 140 272 285 894 206 66 | 687 483 771 319 492 407 744 189 647 699 | 504 848 644 529 139 348 243 80 683 875 | 818 237 583 684 512 662 924 74 827 643 | 95 696 137 133 854 349 54 761 735 280 | 593 518 450 75 233 321 825 264 129 113 
715 665 367 749 921 488 658 182 466 550 | 807 516 847 579 461 412 543 939 621 358 | 568 328 5 23 457 380 123 308 886 43 | 893 143 196 440 846 741 758 600 803 876 | 554 768 882 15 953 42 834 843 411 689 | 815 296 604 769 672 33 526 131 954 878 | 117 935 712 27 660 263 375 698 501 983 | 442 79 580 650 899 221 119 169 747 287 | 828 302 617 856 90 444 533 620 523 24 | 125 678 317 451 347 556 278 456 952 247 
91 127 222 275 346 885 214 241 181 934 | 645 779 977 510 82 611 281 614 118 455 | 122 972 403 493 787 25 655 151 727 905 | 291 108 148 144 850 704 628 484 150 631 | 389 613 668 717 190 4 265 238 706 941 | 663 887 933 648 589 880 205 496 792 145 | 480 360 288 290 239 837 329 177 207 864 | 811 503 865 738 114 844 986 927 514 13 | 511 381 964 343 96 200 960 173 813 733 | 53 110 180 622 770 562 884 11 369 359 
400 58 333 832 193 838 942 324 594 940 | 92 422 995 515 566 152 751 464 419 988 | 489 720 757 482 965 539 946 615 760 805 | 433 416 994 335 814 172 199 59 46 545 | 888 166 519 889 926 111 892 337 52 588 | 765 734 812 853 702 353 725 34 390 31 | 282 303 100 469 252 618 454 603 612 371 | 201 910 392 307 156 947 462 370 739 961 | 473 485 106 29 928 325 949 564 836 304 | 361 104 490 742 298 486 406 962 283 178 
259 44 404 762 429 255 161 700 351 682 | 810 443 63 784 71 97 808 570 669 30 | 70 641 975 637 266 89 776 45 68 310 | 711 171 676 447 904 764 198 791 538 802 | 373 261 619 116 408 521 305 289 522 656 | 592 6 897 84 40 778 410 548 806 659 | 374 901 989 820 107 235 881 87 695 85 | 794 313 322 430 141 591 344 507 250 376 | 817 315 128 423 919 930 459 155 352 697 | 384 323 327 245 470 925 569 372 154 915 
590 777 112 574 781 401 331 809 963 215 | 204 680 134 292 640 192 547 364 517 799 | 675 931 388 262 167 165 420 251 674 213 | 502 242 872 365 633 216 525 707 860 785 | 861 686 929 774 342 936 729 258 606 164 | 188 743 867 476 438 520 115 969 194 607 | 431 587 849 800 19 911 978 88 536 471 | 49 902 531 858 60 225 234 630 220 783 | 831 312 649 39 202 670 500 782 491 424 | 17 8 984 552 565 833 236 987 993 130 
232 41 708 229 726 1 737 379 551 81 | 527 795 159 982 101 830 293 677 311 357 | 709 873 338 657 610 560 855 731 932 77 | 246 957 458 385 625 257 195 48 405 460 | 790 990 597 109 821 691 377 301 979 475 | 646 681 732 47 184 745 249 103 228 120 | 7 530 297 230 871 763 494 78 61 481 | 12 917 497 598 299 692 397 642 585 636 | 271 971 179 341 724 366 968 558 577 599 | 477 105 55 524 306 73 632 254 753 183 
69 976 824 913 773 997 227 64 891 685 | 175 176 945 693 383 948 231 437 601 495 | 914 318 132 332 667 944 866 730 666 413 | 32 174 563 197 434 72 958 309 912 509 | 775 467 147 943 955 823 387 721 36 393 | 842 186 51 937 208 719 3 448 701 168 | 487 595 339 432 999 728 909 688 362 102 | 908 300 862 2 829 277 573 396 841 191 | 399 295 722 224 99 835 537 616 801 623 | 998 772 654 869 690 754 67 499 86 542 
